timestamp,date,time,location,operator,flight#,route,aircraft_type,aircraft_reg,cn_ln,total_onboard,passenger_onboard,crew_onboard,total_fatalities,passenger_fatalities,crew_fatalities,ground_casualties,summary_of_events
1943-03-27 05:15:00+00:00,03/27/1943,05:15,"Archerfield Aerodrome, Queensland, Australia",Military - Royal Australian Air Force,,Brisbane - Sydney,Douglas C-47-DL,A65-2,6149,24.0,20.0,4.0,24.0,20.0,4.0,0.0,"The aircraft, taking off in darkness and poor visibility, crashed in heavy timber and caught fire."
1943-04-22 20:00:00+00:00,04/22/1943,20:00,"Off Port Moresby, New Guinea",Qantas,, Townsville - Port Moresby,Short S-23,VH-ADU,S-844,31.0,27.0,4.0,13.0,11.0,2.0,0.0,Stalled and crashed in poor weather into the water during an emergency landing on the open sea. Broke up in heavy seas.
1943-06-14 06:00:00+00:00,06/14/1943,06:00,"Near Mackay, OLD, Australia",Military - U.S. Army Air Forces,,Mackay - Port Moresby,B-17C Flying Fortress,12406,2072,41.0,35.0,6.0,40.0,34.0,6.0,0.0,The aircraft took off into ground fog and leveled off at an altitude of about 300 feet. The plane stalled and crashed and exploded.
1943-08-07 05:20:00+00:00,08/07/1943,05:20,"Off Townsville, Australia",Military - U.S. Air Force,,Townsville - Brisbane,Douglas C-47-DL,41-7733,4212,27.0,23.0,4.0,27.0,23.0,4.0,0.0,Twenty minutes after taking off the aircraft crashed into Cleveland Bay several miles offshore.
1943-09-20 08:50:00+00:00,09/20/1943,08:50,"Near Maxton, North Carolina",Military - U.S. Army Air Forces,,Maxton - Godman,Douglas C-53D-DO,42-68729,11656,25.0,21.0,4.0,25.0,21.0,4.0,0.0,Crashed into a wooded area after nearly colliding with a glider being towed by another aircraft.  The evasive maneuver caused the aircraft to stall and crash.
1943-10-19 02:45:00+00:00,10/19/1943,02:45,"St. Donat, Quebec, Canada",Military - Royal Canadian Air Force,,Gander - Mont-Joli,Consolidated B-24,3701,1031,24.0,20.0,4.0,24.0,20.0,4.0,0.0,"The plane crashed in a snowstorm, on a cliff near the summit of Black Mountain, 60 miles north of its destination, Montreal. The wreckage was located three years later."
1943-12-19 09:20:00+00:00,12/19/1943,09:20,"Canal Creek, Australia",Military - U.S. Air Force,,Townsville - Rockhampton - Brisbane,Douglas C-47A-60-DL,43-30742,13893,31.0,27.0,4.0,31.0,27.0,4.0,0.0,Crashed and exploded while en route.
1944-02-10 23:36:00+00:00,02/10/1944,23:36,"Memphis, Tennessee",American Airlines,2,Little Rock - Memphis,Douglas DC-3,NC21767,2166,24.0,21.0,3.0,24.0,21.0,3.0,0.0,"The aircraft crashed into a river and sank ,18 miles southwest of Memphis, in a snowstorm, while en route from Little Rock. Cause undetermined."
1944-07-26 03:00:00+00:00,07/26/1944,03:00,North Atlantic Ocean,Military - U.S. Army Air Forces,,"England - Long Island, N.Y.",Douglas C-54A-DO (DC-4),42-107470,7489,26.0,20.0,6.0,26.0,20.0,6.0,0.0,Disappeared while en route from Iceland to Newfoundland.
1944-08-03 20:30:00+00:00,08/03/1944,20:30,"Naper, Nebraska",Military - U.S. Army Air Forces,,"Bruning, NB - Pierre, SD",Douglas C-47A-DL,42-23652,9514,28.0,24.0,4.0,28.0,24.0,4.0,0.0,Crashed in a severe thunderstorm after possibly being hit by lightning and losing both engines.
1944-08-08 13:20:00+00:00,08/08/1944,13:20,"Off Antilla, Cuba",Pan American World Airways,218,San Juan - Antilla - Miami,Sikorsky S-42 (flying boat),NC823M,4201,31.0,26.0,5.0,17.0,17.0,0.0,0.0,"Crashed during the third attempt to lift from the water and sank into the ocean. Loss of control due to the captain's inexperience in handling the particular type of aircraft. The aircraft was named ""Hong Kong Clipper."""
1944-10-11 07:30:00+00:00,10/11/1944,07:30,"Sydney, Australia",Qantas,,Sydney - Townsville,Short S.23 Empire Flying Boat,VH-ABB,S-877,29.0,22.0,7.0,1.0,1.0,0.0,0.0,While landing on the water the plane broke up and sank. One passenger drowned.
1944-11-04 17:15:00+00:00,11/04/1944,17:15,"Hanford, California",Trans Continental and Western Air,8,San Francisco - New York City,Douglas DC-3,NC28310,2251,24.0,21.0,3.0,24.0,21.0,3.0,0.0,"The wing separated from the aircraft after entering a thunderstorm and encountering severe turbulence. The failure of the airplane's structure as a result of severe turbulence, an important contributing cause was the fact that the airplane was undoubtedly in an abnormal attitude of flight,  i.e., inverted, at the instant of structural failure. The cause of the airplane becoming inverted was not determined."
1944-11-19 15:10:00+00:00,11/19/1944,15:10,"Lewes, England",Military - U.S. Army Air Forces,,Chateaudun - Greenham Common,Douglas C-47A-DL,43-15046,19512,30.0,25.0,5.0,25.0,20.0,5.0,0.0,"Flying in low overcast, the aircraft struck a hill, exploded and burned."
1945-01-10 04:10:00+00:00,01/10/1945,04:10,"Burbank, California",American Airlines,6001,"New York City - Juarez, Mexico - Burbank",Douglas DC-3,NC25684,2215,24.0,21.0,3.0,24.0,21.0,3.0,0.0,"The aircraft, lost in fog, crashed into the Verdugo Mountains,  while attempting to reach Palmdale Airport, its alternate landing site, after being unable to land at Burbank Airport. The company ground personnel failed to obtain and transmit important weather to the pilot. Improperly executed missed approach by the pilot. Actress Donna Reed was returning from Juarez where she obtained a divorce from her husband but was bumped from the flight just prior to takeoff  to make room for a military officer holding a wartime-travel priority pass."
1945-02-02 10:15:00+00:00,02/02/1945,10:15,"Near Montieri, Italy",Military - U.S. Army Air Forces,,Florence - Rome,Douglas C-47-DL,41-18603,4728,26.0,22.0,4.0,23.0,21.0,2.0,0.0,Crashed into a mountain after encountering a fog bank and not climbing in sufficient time to avoid the terrain.
1945-02-13 06:30:00+00:00,02/13/1945,06:30,"Off Oakland, California",Military - U.S. Navy,,,Douglas R4D-6,50765,14848/26293,24.0,21.0,3.0,24.0,21.0,3.0,0.0,Crashed into San Francisco bay shortly after taking off. The right wing struck to water as the plane made a wide turn. Malfunction of the gyro.
,02/23/1945,,"Casablanca, Morocco",Military – U.S. Air Force,,,Curtiss C-46A,42-107377,27064,30.0,26.0,4.0,13.0,13.0,0.0,0.0,
,03/27/1945,,"Coral Sea, off Australia",Military - U.S. Air Force,,Cooktown - Finschafen,Douglas C-47A-90-DL,43-16011,20477,24.0,20.0,4.0,24.0,20.0,4.0,0.0,Disappeared en route.
1945-04-20 06:40:00+00:00,04/20/1945,06:40,"Sweetwater, Texas",Military - U.S. Army Air Forces,,"Midland, TX - Nashville, TN",Douglas C-47-DL,41-18451,4513,25.0,22.0,3.0,25.0,22.0,3.0,0.0,Broke-up after entering an area of thunderstorms. Initial structural failure involved the elevator followed by the entire aircraft.
,04/23/1945,,"North Barrule, Isle of Man, England",Military - U.S. Air Force,,Ridgewell - Nutts Corner,B17G Flying Fortress,43-38856,9834,31.0,26.0,5.0,31.0,26.0,5.0,0.0,"While cruising at an altitude of 2,000 feet, the aircraft hit the slope of Mt North Barrule located 2 miles south of Ramsey."
1945-05-06 12:55:00+00:00,05/06/1945,12:55,"Hindhead, England",Military - U.S. Army Air Forces,,,Curtiss-Wright C-46D-CU,44-77839,33235,30.0,25.0,5.0,30.0,25.0,5.0,1.0,"Flying low because of poor visiblity, the aircraft struck a radar tower, lost its right wing, crashed and burned. Pilot error. Flying VFR in IFR conditions."
1945-05-09 01:30:00+00:00,05/09/1945,01:30,"Roye, France",Military - UK Royal Air Force,,England - Brussels,Avro Lancaster,RF230,,31.0,25.0,6.0,31.0,25.0,6.0,0.0,The aircraft went in to a spin and crashed in a wooded area and caught fire.
,07/11/1945,,"Near Kisumu, Kenya",Military - South African Air Force,,Kisumu - Durban,Douglas C-47,6812,6812,28.0,24.0,4.0,28.0,24.0,4.0,0.0,Crashed  on an island  located in Winam Bay shortly after take off Kismu.
1945-09-15 00:08:00+00:00,09/15/1945,00:08,"Near Kansas, Missouri",Military - U.S. Army Air Forces,,,Douglas C-47B-DK,45-1011,34277,24.0,21.0,3.0,23.0,20.0,3.0,0.0,"Failed to gain altitude while taking off, struck trees, lost both wings, exploded and burned. Engine failure."
,09/18/1945,,"Puncak Jaya, Papua New Guinea",Military - Royal Australian Air Force,,Pitu - Merauke - Bamaga - Townsville,Douglas C-47B-5-DK,A65-61,14554/25999,29.0,26.0,3.0,29.0,26.0,3.0,0.0,"A month later the wreckage was found  on the slope of a mountain located near Mt Puncak Jaya, southwest of Mulia, 100 feet from the summit. It"
1945-10-07 00:30:00+00:00,10/07/1945,00:30,"Rennes, France",Military - UK Royal Air Force,,London - Cairo,Short Stirling IV,LJ668,,26.0,20.0,6.0,26.0,20.0,6.0,0.0,Lost altitude while in a turn and attempting to land and crashed and burned short of the runway.
1945-10-13 20:45:00+00:00,10/13/1945,20:45,"Melsbroek, Belgium",Military - UK Royal Air Force,,London - Brussels - New Delhi,Consolidated LB-30-A Liberator,KL595,,31.0,25.0,6.0,31.0,25.0,6.0,0.0,The aircraft failed to gain speed or altitude and struck a hill at the end of the runway.
1945-10-16 11:30:00+00:00,10/16/1945,11:30,"Near Peking, China",Military - U.S. Army Air Forces,,Hankou - Peking,Curtiss-Wright C-46F-CU,44-78591,22414,59.0,55.0,4.0,59.0,55.0,4.0,0.0,Struck a radio transmission tower while on approach for landing at Nanyman field after encountering low clouds and poor visibility.
,10/20/1945,,"Between Shanghi and Canton, China",China National Aviation Corporation,,Shanghai - Canton,Douglas C-47,,,31.0,28.0,3.0,31.0,28.0,3.0,0.0,"Crashed into a mountain while en route, flying at a low altitude in adverse meteorological conditions."
,10/20/1945,,"Timor Sea, Atlantic Ocean",Military - Royal Australian Air Force,,"Ambon, Indonesia - Darwin, Australia",Douglas C-47B,A65-83,16127/32875,25.0,21.0,4.0,25.0,21.0,4.0,0.0,Disappeared en route.
1945-10-30 19:15:00+00:00,10/30/1945,19:15,"Chihchiang, China",Military - U.S. Army Air Forces,,Zhijiang - Shanghai,Curtiss-Wright C-46A-CK,43-47228,299,50.0,46.0,4.0,45.0,44.0,1.0,0.0,Crashed and burned on takeoff striking a hill.  Possible engine failure or overloading.
1945-11-01 15:30:00+00:00,11/01/1945,15:30,"Herrenalb, Germany",Military - U.S. Army Air Forces,,Bovingdon - Schleissheim,Douglas C-47A-DK,42-93041,12909,30.0,26.0,4.0,26.0,22.0,4.0,0.0,The crew descended through low overcast to obtain their position.  Followed an river and crashed into wooded mountainside.  Navigator error in not informing the pilot of high terrain.
1945-11-03 02:00:00+00:00,11/03/1945,02:00,"Near Chuka, India",Military - U.S. Army Air Forces,,Chabua - Karachi,Douglas C-54G,45528A,35981,44.0,40.0,4.0,44.0,40.0,4.0,0.0,Crashed into the Himalaysas and burned while en route. Wreckage found a month later.
1945-11-09 20:00:00+00:00,11/09/1945,20:00,"Near Boccadi, Italy",Military - U.S. Army Air Forces,,Athens - Naples,Douglas C-47A-DL,42-24363,10225,24.0,20.0,4.0,24.0,20.0,4.0,0.0,"The pilot radioed he was lost, shortly before impacting the ground while attempting to land in poor visibility."
1945-11-11 23:45:00+00:00,11/11/1945,23:45,"Near Castel, Libya",Military - UK Royal Air Force,,,Short Stirling,PJ950,,29.0,22.0,7.0,29.0,22.0,7.0,0.0,"While taking off the aircraft experienced an engine fire, stalled and crashed and burned."
1945-11-15 09:14:00+00:00,11/15/1945,09:14,Near Jacquinot Bay  New Guinea,Military - Royal Australian Air Force,,Lae - Finschhafen - Jacquinot Bay - Rabaul,Douglas C-47 Dakota-DK,A6554,26640,28.0,25.0,3.0,28.0,25.0,3.0,0.0,"Crashed into a 7,598 ft. mountain in the region of Wide Bay, 150 feet below the ridge, shortly after taking off. There were Australian and Indian soldiers on board."
1945-11-22 10:00:00+00:00,11/22/1945,10:00,"White's Farm, England",Military - UK Royal Air Force,,Merryfield - Bombay,Consolidated LB-30A Liberator,KH126,,27.0,22.0,5.0,27.0,22.0,5.0,0.0,"The aircraft crashed into a hill shortly after takeoff after and  making a turn, before reaching the prescribed altitude."
1945-12-03 13:30:00+00:00,12/03/1945,13:30,"Near Rochefort , France",Military - UK Royal Air Force,,"India - Cambridge, England",Consolidated LB-30A Liberator,KH125,,28.0,23.0,5.0,28.0,23.0,5.0,0.0,Crashed in severe turbulence in thunderstorms after losing the right wing and breaking up.
1946-01-15 18:25:00+00:00,01/15/1946,18:25,"Marseilles, France",Military - UK Royal Air Force,,,Douglas C-47 Dakota,KN557,33171,25.0,21.0,4.0,23.0,19.0,4.0,0.0,Crashed into a mountainside in a snowstorm.
1946-03-03 08:12:00+00:00,03/03/1946,08:12,"Live Oak Springs, California",American Airlines,6-103,Dallas - Tucon - San Diego,Douglas DC-3-227B,NC21799,2203,27.0,24.0,3.0,27.0,24.0,3.0,0.0,"While on approach to San Diego, the aircraft flew into Tierra Blanca Mountain at an altitude of 4,500 feet in fog, exploded and burned. The crew descended into instrument conditions to an altitude below that required to maintain clearance over Thing Mountain. The reason for the descent was not determined."
1946-03-10 20:55:00+00:00,03/10/1946,20:55,"Off Hobart, Tasmania",Australian National Airways,,Hobart - Melbourne,Douglas DC-3 (C-47DL),VH-AET,6013,25.0,21.0,4.0,25.0,21.0,4.0,0.0,The aircraft crashed 10 mins after takeoff from Hobart. Inadvertent engagement of the autopilot instead of the fuel crossfeed.
1946-03-19 11:45:00+00:00,03/19/1946,11:45,"Hobart Mills, California",Military - U.S. Army Air Forces,,"Stockton, CA - Ogden, UT",Douglas C-47B,45-1085,,26.0,23.0,3.0,26.0,23.0,3.0,0.0,The aircraft lost its right wing and disintegrated over Donner Summit for reasons unknown.
1946-05-16 01:00:00+00:00,05/16/1946,01:00,"Richmond, Virginia",Viking Air Transport,,Richmond - Atlanta,Douglas DC-3,NC53218,19626,27.0,25.0,2.0,27.0,25.0,2.0,0.0,"Engine trouble after takeoff forced the crew to return to Richmond. While the crew was attempting to land a second time, an engine was shut down because it was running rough. The pilot apparently shut down the wrong engine. The plane stalled and crashed to earth, nose first. Inability of the crew to maintain adequate control of the aircraft to effect an emergency single-engine instrument approach under adverse weather conditions."
1946-06-01 07:40:00+00:00,06/01/1946,07:40,"Off Amalfi, Italy",Military - U.S. Army Air Forces,,Cairo - Rome,Douglas C-54-DO (DC-4),44-9078,27304,38.0,30.0,8.0,30.0,26.0,4.0,0.0,"A fire of undetermined origin erupted in the cockpit. The crew  was unable to control the smoke and flames, lost control and the aircraft and crashed. Eight aboard parachuted to safety."
1946-07-09 20:10:00+00:00,07/09/1946,20:10,"Holyoke, Massachusetts",Military - U.S. Army Air Forces,,,Boeing B17G,43-39136,,25.0,21.0,4.0,25.0,21.0,4.0,0.0,Struck a slope on Mt. Tom during an approach to land at Westover Field.
,07/13/1946,,"Tsinan, China",Central Air Transport,,,Curtiss C-46,,,49.0,47.0,2.0,13.0,11.0,2.0,0.0,The aircraft crashed 1 mile from the airfield shortly after takeoff due to engine failure.
,07/17/1946,,"Cuenca, Ecuador",ANDESA,,Guayaquil - Cuenca,Curtiss C-46D-10-CU,HC-SCA,32982,30.0,27.0,3.0,30.0,27.0,3.0,0.0,Overshot the runway. The pilot was unable to regain altitude and the plane crashed into a hill and burst into flames.
1946-08-21 04:19:00+00:00,08/21/1946,04:19,"Moline, Illinois",Trans Luxury Airlines,878,Teterboro - Chicago - San Francisco,Douglas C-47-DL,N51878,4542,25.0,22.0,3.0,2.0,0.0,2.0,0.0,"While the aircraft was flying near Moline, the No. 1 engine failed. The prop was feathered and a descent initiated for an emergency landing.The aircraft overshot the landing and a  go-around was executed. A left turn was made with the gear and flaps extended. The left wing touched the ground and the aircraft cartwheeled. The engine failure was caused by a No. 5 cylinder fracture."
1946-09-04 09:15:00+00:00,09/04/1946,09:15,"Le Bourget, France",Air France,,Paris - Croydon,Douglas DC-3,F-BAXD,42975,26.0,21.0,5.0,20.0,18.0,2.0,1.0,Lost altitude after losing an engine on takeoff  and crashed into a factory yard.
,09/07/1946,,"Bathurst, Gambia",British South American Airways,,"Bathrust, - Argentina",Avro 685 York I,G-AHEW,1300,24.0,20.0,4.0,24.0,20.0,4.0,0.0,"The aircraft crashed shortly after takeoff after a loss of control by  the captain.  Loss of control by the captain for unknown reasons with mishandling of the controls the most likely explanation. The aircraft was named ""Star Leader."""
1946-09-18 04:15:00+00:00,09/18/1946,04:15,"Near Gander, Newfoundland",Sabena,,Brussels - Shannon - Gander - New York City,Douglas DC-4-1009,OO-CBG,42986,44.0,37.0,7.0,27.0,21.0,6.0,0.0,The aircraft crashed 24 mi SW of the runway at Gander. Improper approach procedures by the pilot in poor weather.
,09/20/1946,,"Lochi Mountain, China",China National Aviation Corporation,,"Sichang - Kunming, Yunnan",Curtiss-Wright C-46,,,28.0,25.0,3.0,28.0,25.0,3.0,0.0,"Crashed into a 15,000 ft. mountain shortly after taking off from Sichang."
1946-09-27 17:30:00+00:00,09/27/1946,17:30,"Rio Doce, Brazil",Panair do Brasil,,Belo Horizonte  - Rio de Janerio,Douglas DC-3A-228D,PP-PCH,4087,25.0,22.0,3.0,25.0,22.0,3.0,0.0,Crashed into a mountainside north of Rio de Janerio after being possibly struck by lightning.
1946-10-03 03:30:00+00:00,10/03/1946,03:30,"Stephenville, Newfoundland",American Overseas Airlines,,Gander - Shannon,Douglas C-54E-5-DO,NC90904,27290,39.0,31.0,8.0,39.0,31.0,8.0,0.0,"Took off from Gander and flew in a straight line into a mountain ridge 71 miles from the airport. The aircraft was named ""Flagship New England.""  It can be concluded that the captain was not alert to the procedure necessary for a safe climb from the runway. The action of the pilot in maintaining the direction of take-off toward higher terrain over which adequate clearance could not be gained."
1946-10-08 04:33:00+00:00,10/08/1946,04:33,"Cheyenne, Wyoming",United Air Lines,28,San Francisco - Cheyenne - Chicago,Douglas DC-4,N30051,10471,41.0,37.0,4.0,2.0,2.0,0.0,0.0,"After two landing attempts, the pilot tried to land on a different runway.  The wing struck the ground and the plane skidded 800 ft.  A loss of altitude during a turn preparatory to a final approach while the pilot was manoeuvring in an attempt to land. The aircraft was named ""Mainliner Lake Michigan."""
,10/23/1946,,"Gebel Kalamoun, Egypt",Socotra,,Paris - Cairo,Junkers JU-52/3m,F-BCHD,AAC311,24.0,22.0,2.0,1.0,1.0,0.0,0.0,The plane crashed into a hill after attempting to make a forced landing after running out of fuel.
,11/01/1946,,"St Leger-la-Montagne, France",CTA Languedoc Roussillon,,Paris - Toulouse - Casablanca,AAC-1 Toucan,F-BCAD,284,27.0,24.0,3.0,23.0,20.0,3.0,0.0,Crashed into mountains while en route. The pilot descended to lower altitiude to rid the plane of ice.
1946-11-14 20:15:00+00:00,11/14/1946,20:15,"Amsterdam, Netherlands",KLM Royal Dutch Airlines,,London - Amsterdam,Douglas C-47A-90 DL (DC-3),PH-TBW,20122,26.0,21.0,5.0,26.0,21.0,5.0,0.0,"The flight crashed during a third landing attempt in inclement weather. The pilot, not lined up with the runway, made a sharp left turn. The wing hit the ground and the aircraft exploded in flames."
1946-11-26 10:30:00+00:00,11/26/1946,10:30,"San Jose, Costa Rica",Lineas Aereas Costarricenses  LACSA,,,Douglas DC-3 (C-47A-90-DL),RX-76,20590,22.0,20.0,2.0,22.0,20.0,2.0,0.0,Struck Cedrel mountain while making an approach to San Jose.
,12/10/1946,,"Toledo, Washington",Military - U.S. Marine Corps,,"Miramar NAS, California - Sand Point NB, Seattle",Curtiss-Wright R5C-1,39528,,32.0,29.0,3.0,32.0,29.0,3.0,0.0,"The crew reported picking up ice before disappearing without a trace while en route. The last reported positon was 30 miles south of Toledo, Washington. Found 11 months later at Mt. Rainer."
1946-12-25 17:00:00+00:00,12/25/1946,17:00,"Near Wusong, Jiangsu, China",CNAC,115,Chunking - Shanghi,Curtiss C-47,,,34.0,31.0,3.0,13.0,10.0,3.0,3.0,Crashed after a failed landing attempt at Kiangwan Airport in rain fog and overcast. The plan overshot the runway and crashed into a residential area.
1946-12-25 17:00:00+00:00,12/25/1946,17:00,"Near Shanghai, China",CNAC,140,Chunking - Shanghi,Douglas DC-3,,,30.0,27.0,3.0,20.0,17.0,3.0,0.0,"While attempting to land in rain and fog, the aircraft ran out of fuel, stalled and crashed at Lunghwa field."
,01/05/1947,,"Tsingtao, China",China National Aviation Corporation,,Shanghai - Tsingtao - Beijing,Curtis C-46,XT-T51,,43.0,38.0,5.0,43.0,38.0,5.0,0.0,Crashed into  a mountain while on approach in low overcast.
1947-01-05 20:00:00+00:00,01/05/1947,20:00,"Carmel, New Jersey",Nationwide Air Transport,,Miami - Raleigh - Washington,Douglas DC-3,N50046,34373,23.0,20.0,3.0,3.0,2.0,1.0,0.0,"The aircraft diverted from Washington to Millville because of heavy traffic in the Washington area.  Near fuel exhaustion forced the crew to carry out an emergency landing. While maneuvering to find a suitable location during heavy snow, the aircraft struck trees and crashed. Failure of the Weather Bureau  to anticipate below minimum conditions north and south of Washington. Failure of CAA to transmit the flight plan to Millville in sufficient time to alert that station to the arrival of the flight."
,01/11/1947,,"Off Laoag, China",Far Eastern Air Transport,,Shanghai - Manila,Douglas DC-4 (C-54A-DO),PI-C100,3106,42.0,37.0,5.0,7.0,7.0,0.0,0.0,The plane ditched into the Pacific Ocean 80 miles west of Laoaq after a fire broke out in the No. 2 engine.
1947-01-28 12:00:00+00:00,01/28/1947,12:00,"Near Hankow, China",China National Aviation Corporation,,Shanghai - Hankow - Chungking,Curtiss C-46,,,26.0,24.0,2.0,25.0,23.0,2.0,0.0,Crashed while en route about 30 minutes after takeoff. A four-year-old boy survived. Fire in the left wing leading to separation of the wing.
1947-02-15 12:18:00+00:00,02/15/1947,12:18,"Near Bogota, Colombia",Avianca,,Barranquilla - Bogota,Douglas DC-4,C-114,10439,53.0,49.0,4.0,53.0,49.0,4.0,0.0,"The plane crashed into Mt. El Tabalazo at 10,500 feet in fog while en route. Pilot error. Conducting the flight below a safe altitude and off the designated airway."
1947-04-08 10:30:00+00:00,04/08/1947,10:30,"Near Caracas, Venezuela",Linea Aeropostal Venezolana,,Cumana - Caracas,Douglas C-47A,YV-C-ALO,,27.0,24.0,3.0,27.0,24.0,3.0,0.0,Crashed 40 miles east of Caracas while en route.
1947-05-29 19:05:00+00:00,05/29/1947,19:05,"La Guardia Airport, Queens, New York",United Air Lines,521,New York City - Cleveland,Douglas C-54B,NC30046,18324,48.0,44.0,4.0,43.0,41.0,2.0,0.0,"The aircraft overran the runway during an attempted takeoff, crashed and caught fire. Either the failure of the pilot to release the gust lock before take-off or his decision to discontinue the take-off because of apprehension resulting from rapid use of a short runway under a possible calm wind condition."
1947-05-29 22:45:00+00:00,05/29/1947,22:45,"Atsugi, Japan",Military - U.S. Army Air Forces,,Seoul - Tachikawa,Douglas C-54D-DC (DC-4),42-72553,10658,40.0,33.0,7.0,40.0,33.0,7.0,0.0,"Turned the wrong way while attempting to land and slammed into a mountain, bursting into flames."
